ANair_MF,"Anand S. Nair","Mersenne forum Prime Gap Searches group","Anand S. Nair"
APinhTOS,"Armando Pinho","Computer code by Tomás Oliveira e Silva.","Armando Pinho [Tomás Oliveira e Silva]"
A.Walker,"Andrew John Walker","","Andrew John Walker"
AEWestrn,"A. E. Western","","A. E. Western"
Andersen,"Jens Kruse Andersen","","Jens Kruse Andersen"
ApplRssr,"Kenneth I. Appel and J. Barkley Rosser","","Appel and Rosser"
ATeixTOS,"António Teixera","Computer code by Tomás Oliveira e Silva.","António Teixera"
Be.Nyman,"Bertil Nyman","","Bertil Nyman"
Blnchtte,"Gilles Blanchette","","Gilles Blanchette"
CBastTOS,"Carlos Bastos","Computer code by Tomás Oliveira e Silva.","Carlos Bastos [Tomás Oliveira e Silva]"
CKernTOS,"Cristian Kern","Computer code by Tomás Oliveira e Silva.","Cristian Kern [Tomás Oliveira e Silva]"
ColeStev,"Steve Cole","Mersenne forum Prime Gap Searches group","Steve Cole"
DanielH.,"Daniel Hermle","","Daniel Hermle"
DBgh&FOH,"D. Baugh and F. O’Hara","","Baugh and O’Hara"
DHLehmer,"Derrick Henry Lehmer","","Derrick Henry Lehmer"
DonKnuth,"Donald Ervin Knuth","","Donald Ervin Knuth"
Erickson,"Eddie Erickson","","Eddie Erickson"
Euclid,Euclid,"",Euclid
Fougeron,"Jim Fougeron","","Jim Fougeron"
GABandAR,"F. J. Gruenberger, G. Armerding, and C. L. Baker (1959, 1961), and independently, Kenneth I. Appel and J. Barkley Rosser (1961)","","Gruenberger et.al, Appel and Rosser"
Gapcoin,"The Gapcoin network","A Bitcoin derivative, employs a hashing algorithm which searches for prime gaps of high merit. Jonnie Frey, developer.","The Gapcoin network"
Glaisher,"J. W. L. Glaisher","","J. W. L. Glaisher"
H.Dubner,"Harvey Dubner","","Harvey Dubner"
HrzogTOS,"Siegfried “Zig“ Herzog","Computer code by Tomás Oliveira e Silva.","Siegfried “Zig” Herzog [Tomás Oliveira e Silva]"
Jacobsen,"Dana Jacobsen","running code using C and Perl","Dana Jacobsen"
JamesFry,"James Fry","","James Fry"
JdeGroot,"Jeroen de Groot","","Jeroen de Groot"
JFNSTOeS,"John Fettig and Nahil Sobh, NCSA","Computer code by Tomás Oliveira e Silva.","Fettig and Sobh [Tomás Oliveira e Silva]"
JLGPardo,"Jose Luis Gomez Pardo","","Jose Luis Gomez Pardo"
JRdrgTOS,"João Manuel Rodrigues","Computer code by Tomás Oliveira e Silva.","João Manuel Rodrigues [Tomás Oliveira e Silva]"
K.Conrow,"Kenneth Conrow","","Kenneth Conrow"
KOGrndln,"Kjell-Olav Grøndalen","","Kjell-Olav Grøndalen"
_Kokales,"David Kokales","Also contributed deterministic primality proofs.","David Kokales"
LLnhardy,"Leif Leonhardy","","Leif Leonhardy"
LMorelli,"Luigi Morelli","Mersenne forum Prime Gap Searches group","Luigi Morelli"
LndrPrkn,"L. J. Lander and Thomas R. Parkin","","Lander and Parkin"
M.Jansen,"Michiel Jansen","","Michiel Jansen"
MJandJKA,"Michiel Jansen and Jens Kruse Andersen","","Jansen and Jens Kruse Andersen"
MJPC&JKA,"Michiel Jansen, Pierre Cami, and Jens Kruse Andersen","","Jansen, Cami and Jens Kruse Andersen"
ML.Brown,"Milton L. Brown","","Milton L. Brown"
MrtnRaab,"Martin Raab","","Martin Raab"
NicelyHD,"Thomas R. Nicely","Computer code inspired by Harvey Dubner’s work.","Thomas R. Nicely [by Harvey Dubner]"
NoAttrib,"Anonymous contributors who do not wish attribution","","Anonymous contributors"
NuuKuosa,"Nuutti Kuosa","","Nuutti Kuosa"
PardiTOS,"Silvio Pardi","Computer code by Tomás Oliveira e Silva.","Silvio Pardi [Tomás Oliveira e Silva]"
PDeGeest,"Patrick De Geest","","Patrick De Geest"
PierCami,"Pierre Cami","","Pierre Cami"
Pinho_MF,"Carlos Eduardo Leal de Pinho","Mersenne forum Prime Gap Searches group","Carlos Eduardo Leal de Pinho"
R.Athale,"Rahul Ramesh Athale","","Rahul Ramesh Athale"
RFischer,"Richard Fischer","","Richard Fischer"
Ritschel,"Thomas Ritschel","Mersenne forum Prime Gap Searches group","Thomas Ritschel"
RobSmith,"Robert W. Smith","Coordinator, PGS. Some results contributed after 2014 employ Perl code written by Dana Jacobsen.","Robert W. Smith [Dana Jacobsen]"
Rosnthal,"Hans Rosenthal","","Hans Rosenthal"
RosntlJA,"Hans Rosenthal","Computer code by Jens Kruse Andersen.","Hans Rosenthal [Jens Kruse Andersen]"
RosntlJF,"Hans Rosenthal","Computer code by Jim Fougeron.","Hans Rosenthal [Jim Fougeron]"
RP.Brent,"Richard P. Brent","","Richard P. Brent"
Shepherd,"Rick L. Shepherd","","Rick L. Shepherd"
Spielaur,"Helmut Spielauer","","Helmut Spielauer"
TAlmFMJA,"Torbjörn Alm","Computer code by Jens Kruse Andersen. Deterministic primality proofs by François Morain.","Torbjörn Alm [Jens Kruse Andersen]"
T.Hadley,"Thomas Hadley","","Thomas Hadley"
TOeSilva,"Tomás Oliveira e Silva","","Tomás Oliveira e Silva"
Toni_Key,"Antonio Key","Using Perl codes developed by Dana Jacobsen.","Antonio Key [Dana Jacobsen]"
TorAlmJA,"Torbjörn Alm","Computer code by Jens Kruse Andersen.","Torbjörn Alm [Jens Kruse Andersen]"
TRNicely,"Thomas R. Nicely","","Thomas R. Nicely"
Weslwski,"Arkadiusz Wesołowski","","Arkadiusz Wesołowski"
Yng&Ptlr,"Jeff Young and Aaron Potler","","Jeff Young and Aaron Potler"
YPPauloR,"Jeff Young and Aaron Potler, as reported by Paulo Ribenboim","","Jeff Young and Aaron Potler [by Paulo Ribenboim]"
